ci,nombres,apellidos,fecha_nacimiento,sexo,direccion,telefono,email,colegio_procedencia,ciudad,opcion1_carrera_id,opcion2_carrera_id
9876543-SC,Erlan Gaston,Garcia Mamani,2002-05-20,M,Av. Busch 3ro Anillo,78945612,erlan.garcia@gmail.com,Colegio Nacional,Santa Cruz,2,1
1234567-SC,Juan Marcelo,Perez Choque,2003-08-14,M,Plan 3000 Calle 4,76543210,juan.perez@gmail.com,Colegio Bellas Artes,Santa Cruz,2,3
4567890-SC,Ana Maria,Roca Suarez,2004-01-30,F,Av. Banzer Km 5,71122334,ana.roca@gmail.com,Colegio Soria Galvarro,Santa Cruz,1,2
1000001-SC,Carlos,Alvarez Pinto,2003-01-01,M,Central,70000001,carlos.1@gmail.com,Colegio Gabriel,Santa Cruz,1,2
1000002-SC,Maria,Benitez Rios,2004-02-02,F,Sur,70000002,maria.2@gmail.com,Colegio Baptista,Santa Cruz,2,3
1000003-SC,Jorge,Castro Ortiz,2003-03-03,M,Norte,70000003,jorge.3@gmail.com,Colegio Cambridge,Santa Cruz,3,4
1000004-SC,Laura,Duran Vaca,2004-04-04,F,Este,70000004,laura.4@gmail.com,Colegio Eagle,Santa Cruz,4,1
1000005-SC,Pedro,Espinoza Luna,2003-05-05,M,Oeste,70000005,pedro.5@gmail.com,Colegio Saint George,Santa Cruz,1,3
1000006-SC,Elena,Flores Soliz,2004-06-06,F,Central,70000006,elena.6@gmail.com,Colegio Franco,Santa Cruz,2,4
1000007-SC,Ramiro,Gomez Arteaga,2003-07-07,M,Sur,70000007,ramiro.7@gmail.com,Colegio La Salle,Santa Cruz,3,1
1000008-SC,Silvia,Heredia Paz,2004-08-08,F,Norte,70000008,silvia.8@gmail.com,Colegio Uboldi,Santa Cruz,4,2
1000009-SC,Hugo,Ibanez Justiniano,2003-09-09,M,Este,70000009,hugo.9@gmail.com,Colegio IPC,Santa Cruz,1,4
1000010-SC,Natalia,Juarez Melgar,2004-10-10,F,Oeste,70000010,natalia.10@gmail.com,Colegio Berea,Santa Cruz,2,1
1000011-SC,Oscar,Lopez Cuellar,2003-11-11,M,Central,70000011,oscar.11@gmail.com,Colegio Marista,Santa Cruz,3,2
1000012-SC,Patricia,Mendoza Rojas,2004-12-12,F,Sur,70000012,patricia.12@gmail.com,Colegio Cardenal,Santa Cruz,4,3
1000013-SC,Raul,Nunez Suarez,2003-01-13,M,Norte,70000013,raul.13@gmail.com,Colegio San Agustin,Santa Cruz,1,2
1000014-SC,Sonia,Orellana Torrico,2004-02-14,F,Este,70000014,sonia.14@gmail.com,Colegio Don Bosco,Santa Cruz,2,3
1000015-SC,Tomas,Paredes Vargas,2003-03-15,M,Oeste,70000015,tomas.15@gmail.com,Colegio Fe y Alegria,Santa Cruz,3,4
1000016-SC,Victor,Quiroga Villarroel,2004-04-16,F,Central,70000016,victor.16@gmail.com,Colegio de la Sierra,Santa Cruz,4,1
